Running in CPU mode	
Epoch 1.73 / 50, i = 259 / 17800, loss = 2.265704	
Epoch 1.73 / 50, i = 260 / 17800, loss = 2.261500	
Epoch 1.73 / 50, i = 261 / 17800, loss = 2.286936	
Epoch 1.74 / 50, i = 262 / 17800, loss = 2.278184	
Epoch 1.74 / 50, i = 263 / 17800, loss = 2.295305	
Epoch 1.74 / 50, i = 264 / 17800, loss = 2.220338	
Epoch 1.74 / 50, i = 265 / 17800, loss = 2.262224	
Epoch 1.75 / 50, i = 266 / 17800, loss = 2.258472	
Epoch 1.75 / 50, i = 267 / 17800, loss = 2.260924	
Epoch 1.75 / 50, i = 268 / 17800, loss = 2.286541	
Epoch 1.76 / 50, i = 269 / 17800, loss = 2.264113	
Epoch 1.76 / 50, i = 270 / 17800, loss = 2.276154	
Epoch 1.76 / 50, i = 271 / 17800, loss = 2.261024	
Epoch 1.76 / 50, i = 272 / 17800, loss = 2.267164	
Epoch 1.77 / 50, i = 273 / 17800, loss = 2.291595	
Epoch 1.77 / 50, i = 274 / 17800, loss = 2.255920	
Epoch 1.77 / 50, i = 275 / 17800, loss = 2.291574	
Epoch 1.78 / 50, i = 276 / 17800, loss = 2.278696	
Epoch 1.78 / 50, i = 277 / 17800, loss = 2.269840	
Epoch 1.78 / 50, i = 278 / 17800, loss = 2.271361	
Epoch 1.78 / 50, i = 279 / 17800, loss = 2.239040	
Epoch 1.79 / 50, i = 280 / 17800, loss = 2.242523	
Epoch 1.79 / 50, i = 281 / 17800, loss = 2.237672	
Epoch 1.79 / 50, i = 282 / 17800, loss = 2.233571	
Epoch 1.79 / 50, i = 283 / 17800, loss = 2.226361	
Epoch 1.80 / 50, i = 284 / 17800, loss = 2.250229	
Epoch 1.80 / 50, i = 285 / 17800, loss = 2.218079	
Epoch 1.80 / 50, i = 286 / 17800, loss = 2.231597	
Epoch 1.81 / 50, i = 287 / 17800, loss = 2.239375	
Epoch 1.81 / 50, i = 288 / 17800, loss = 2.235564	
Epoch 1.81 / 50, i = 289 / 17800, loss = 2.229122	
Epoch 1.81 / 50, i = 290 / 17800, loss = 2.248436	
Epoch 1.82 / 50, i = 291 / 17800, loss = 2.238249	
Epoch 1.82 / 50, i = 292 / 17800, loss = 2.220168	
Epoch 1.82 / 50, i = 293 / 17800, loss = 2.191966	
Epoch 1.83 / 50, i = 294 / 17800, loss = 2.241806	
Epoch 1.83 / 50, i = 295 / 17800, loss = 2.243600	
Epoch 1.83 / 50, i = 296 / 17800, loss = 2.201939	
Epoch 1.83 / 50, i = 297 / 17800, loss = 2.225120	
Epoch 1.84 / 50, i = 298 / 17800, loss = 2.200928	
Epoch 1.84 / 50, i = 299 / 17800, loss = 2.285753	
Epoch 1.84 / 50, i = 300 / 17800, loss = 2.227224	
Epoch 1.85 / 50, i = 301 / 17800, loss = 2.243893	
Epoch 1.85 / 50, i = 302 / 17800, loss = 2.249085	
Epoch 1.85 / 50, i = 303 / 17800, loss = 2.207089	
Epoch 1.85 / 50, i = 304 / 17800, loss = 2.221756	
Epoch 1.86 / 50, i = 305 / 17800, loss = 2.280350	
